port	terminal	year	month	date	L_hours
Haifa	Haifa-Legacy	2020	3	2020-03-31	2484.5
Haifa	Haifa-Legacy	2020	4	2020-04-30	2550.7115384615386
Haifa	Haifa-Legacy	2020	5	2020-05-31	2326.7884615384614
Haifa	Haifa-Legacy	2020	6	2020-06-30	2154.3846153846152
Haifa	Haifa-Legacy	2020	7	2020-07-31	2395.326923076923
Haifa	Haifa-Legacy	2020	8	2020-08-31	2188.019230769231
Haifa	Haifa-Legacy	2020	9	2020-09-30	2179.653846153846
Haifa	Haifa-Legacy	2020	10	2020-10-31	2557.1923076923076
Haifa	Haifa-Legacy	2020	11	2020-11-30	2411.673076923077
Haifa	Haifa-Legacy	2020	12	2020-12-31	2210.9807692307695
Haifa	Haifa-Legacy	2021	1	2021-01-31	2704.936170212766
Haifa	Haifa-Legacy	2021	2	2021-02-28	2615.489361702128
Haifa	Haifa-Legacy	2021	3	2021-03-31	2686.68085106383
Haifa	Haifa-Legacy	2021	4	2021-04-30	2593.2978723404253
Haifa	Haifa-Legacy	2021	5	2021-05-31	2851.297872340426
Haifa	Haifa-Legacy	2021	6	2021-06-30	2768.6595744680853
Haifa	Haifa-Legacy	2021	7	2021-07-31	2523.7384610499334
Haifa	Haifa-Legacy	2021	8	2021-08-31	2670.273720939245
Haifa	Haifa-Legacy	2021	9	2021-09-30	2239.4340988253102
Haifa	Haifa-Legacy	2021	10	2021-10-31	2399.772703866011
Haifa	Haifa-Legacy	2021	11	2021-11-30	2539.0273432602503
Haifa	Haifa-Legacy	2021	12	2021-12-31	2539.0273432602503
Haifa	Haifa-Legacy	2022	1	2022-01-31	2514.1560283687945
Haifa	Haifa-Legacy	2022	2	2022-02-28	2514.1560283687945
Haifa	Haifa-Legacy	2022	3	2022-03-31	2514.1560283687945
Haifa	Haifa-Legacy	2022	4	2022-04-30	2256.6879432624114
Haifa	Haifa-Legacy	2022	5	2022-05-31	2256.6879432624114
Haifa	Haifa-Legacy	2022	6	2022-06-30	2256.6879432624114
Haifa	Haifa-Legacy	2022	7	2022-07-31	1702.2482269503548
Haifa	Haifa-Legacy	2022	8	2022-08-31	1702.2482269503548
Haifa	Haifa-Legacy	2022	9	2022-09-30	1702.2482269503548
Haifa	Haifa-Legacy	2022	10	2022-10-31	1119.8156028368796
Haifa	Haifa-Legacy	2022	11	2022-11-30	1119.8156028368796
Haifa	Haifa-Legacy	2022	12	2022-12-31	1119.8156028368796
Haifa	Haifa-Legacy	2023	1	2023-01-31	1158.299319727891
Haifa	Haifa-Legacy	2023	2	2023-02-28	1158.299319727891
Haifa	Haifa-Legacy	2023	3	2023-03-31	1158.299319727891
Haifa	Haifa-Legacy	2023	4	2023-04-30	1303.061224489796
Haifa	Haifa-Legacy	2023	5	2023-05-31	1303.061224489796
Haifa	Haifa-Legacy	2023	6	2023-06-30	1303.061224489796
Haifa	Haifa-Legacy	2023	7	2023-07-31	1204.061224489796
Haifa	Haifa-Legacy	2023	8	2023-08-31	1204.061224489796
Haifa	Haifa-Legacy	2023	9	2023-09-30	1204.061224489796
Haifa	Haifa-Legacy	2023	10	2023-10-31	1314.7959183673468
Haifa	Haifa-Legacy	2023	11	2023-11-30	1314.7959183673468
Haifa	Haifa-Legacy	2023	12	2023-12-31	1314.7959183673468
Haifa	Haifa-Legacy	2024	1	2024-01-31	1340.430894308943
Haifa	Haifa-Legacy	2024	2	2024-02-29	1340.430894308943
Haifa	Haifa-Legacy	2024	3	2024-03-31	1340.430894308943
Haifa	Haifa-Legacy	2024	4	2024-04-30	1202.6666666666667
Haifa	Haifa-Legacy	2024	5	2024-05-31	1202.6666666666667
Haifa	Haifa-Legacy	2024	6	2024-06-30	1202.6666666666667
Haifa	Haifa-Legacy	2024	7	2024-07-31	1404.1463414634147
Haifa	Haifa-Legacy	2024	8	2024-08-31	1404.1463414634147
Haifa	Haifa-Legacy	2024	9	2024-09-30	1404.1463414634147
Haifa	Haifa-Legacy	2024	10	2024-10-31	1319.178861788618
Haifa	Haifa-Legacy	2024	11	2024-11-30	1319.178861788618
Haifa	Haifa-Legacy	2024	12	2024-12-31	1319.178861788618
