Port	Period	Freq	Year	MonthIndex	TEU_thousands	TEU
Eilat	08-2011	Monthly	2011	201108	0.0	0.0
Eilat	09-2011	Monthly	2011	201109	0.0	0.0
Eilat	10-2011	Monthly	2011	201110	0.0	0.0
Eilat	11-2011	Monthly	2011	201111	0.0	0.0
Eilat	12-2011	Monthly	2011	201112	0.0	0.0
Eilat	01-2012	Monthly	2012	201201	0.0	0.0
Eilat	02-2012	Monthly	2012	201202	0.0	0.0
Eilat	03-2012	Monthly	2012	201203	0.0	0.0
Eilat	04-2012	Monthly	2012	201204	0.0	0.0
Eilat	05-2012	Monthly	2012	201205	0.0	0.0
Eilat	06-2012	Monthly	2012	201206	0.0	0.0
Eilat	07-2012	Monthly	2012	201207	0.0	0.0
Eilat	08-2012	Monthly	2012	201208	0.0	0.0
Eilat	09-2012	Monthly	2012	201209	0.0	0.0
Eilat	10-2012	Monthly	2012	201210	0.0	0.0
Eilat	11-2012	Monthly	2012	201211	0.001	1.0
Eilat	12-2012	Monthly	2012	201212	0.0	0.0
Eilat	01-2013	Monthly	2013	201301	0.0	0.0
Eilat	02-2013	Monthly	2013	201302	0.051	51.0
Eilat	03-2013	Monthly	2013	201303	0.07	70.0
Eilat	04-2013	Monthly	2013	201304	0.032	32.0
Eilat	05-2013	Monthly	2013	201305	0.0	0.0
Eilat	06-2013	Monthly	2013	201306	0.001	1.0
Eilat	07-2013	Monthly	2013	201307	0.019	19.0
Eilat	08-2013	Monthly	2013	201308	0.019	19.0
Eilat	09-2013	Monthly	2013	201309	0.006	6.0
Eilat	10-2013	Monthly	2013	201310	0.009	9.0
Eilat	11-2013	Monthly	2013	201311	0.014	14.0
