port	terminal	year	month	quarter	TEU_port_m	share_i_p_q	TEU_i_m	Pi_teu_per_hour_i_y	H_annual_i_y	w_i_m_in_year	L_hours_i_m
Ashdod	Ashdod-Legacy	2022	11	4.0	127004.41666666669	0.8451569597645227	107338.66666666669	37.0	38676.72972972973	0.0750075062012053	2901.045045045045
Ashdod	Ashdod-Legacy	2022	12	4.0	127004.41666666669	0.8451569597645227	107338.66666666669	37.0	38676.72972972973	0.0750075062012053	2901.045045045045
Ashdod	Ashdod-Legacy	2023	1	1.0	130372.0	0.7741718569426973	100930.33333333331	35.0	32058.428571428572	0.0899521261030826	2883.7238095238095
Ashdod	Ashdod-Legacy	2023	2	1.0	130372.0	0.7741718569426973	100930.33333333331	35.0	32058.428571428572	0.0899521261030826	2883.7238095238095
Ashdod	Ashdod-Legacy	2023	3	1.0	130372.0	0.7741718569426973	100930.33333333331	35.0	32058.428571428572	0.0899521261030826	2883.7238095238095
Ashdod	Ashdod-Legacy	2023	4	2.0	147049.91666666666	0.6587468314330904	96868.66666666666	35.0	32058.428571428572	0.0863322475182962	2767.67619047619
Ashdod	Ashdod-Legacy	2023	5	2.0	147049.91666666666	0.6587468314330904	96868.66666666666	35.0	32058.428571428572	0.0863322475182962	2767.67619047619
Ashdod	Ashdod-Legacy	2023	6	2.0	147049.91666666666	0.6587468314330904	96868.66666666666	35.0	32058.428571428572	0.0863322475182962	2767.67619047619
Ashdod	Ashdod-Legacy	2023	7	3.0	145760.75	0.6599719060172234	96198.0	35.0	32058.428571428572	0.0857345293637955	2748.5142857142855
Ashdod	Ashdod-Legacy	2023	8	3.0	145760.75	0.6599719060172234	96198.0	35.0	32058.428571428572	0.0857345293637955	2748.5142857142855
Ashdod	Ashdod-Legacy	2023	9	3.0	145760.75	0.6599719060172234	96198.0	35.0	32058.428571428572	0.0857345293637955	2748.5142857142855
Ashdod	Ashdod-Legacy	2023	10	4.0	109155.08333333331	0.7330670964323696	80018.0	35.0	32058.428571428572	0.0713144303481589	2286.2285714285717
Ashdod	Ashdod-Legacy	2023	11	4.0	109155.08333333331	0.7330670964323696	80018.0	35.0	32058.428571428572	0.0713144303481589	2286.2285714285717
Ashdod	Ashdod-Legacy	2023	12	4.0	109155.08333333331	0.7330670964323696	80018.0	35.0	32058.428571428572	0.0713144303481589	2286.2285714285717
Ashdod	Ashdod-Legacy	2024	1	1.0	127665.91666666669	0.733489948700743	93641.66666666669	38.0	30406.184210526317	0.0810445128169621	2464.2543859649127
Ashdod	Ashdod-Legacy	2024	2	1.0	127665.91666666669	0.733489948700743	93641.66666666669	38.0	30406.184210526317	0.0810445128169621	2464.2543859649127
Ashdod	Ashdod-Legacy	2024	3	1.0	127665.91666666669	0.733489948700743	93641.66666666669	38.0	30406.184210526317	0.0810445128169621	2464.2543859649127
Ashdod	Ashdod-Legacy	2024	4	2.0	149082.0	0.5865027300411854	87437.0	38.0	30406.184210526317	0.0756745295062032	2300.9736842105262
Ashdod	Ashdod-Legacy	2024	5	2.0	149082.0	0.5865027300411854	87437.0	38.0	30406.184210526317	0.0756745295062032	2300.9736842105262
Ashdod	Ashdod-Legacy	2024	6	2.0	149082.0	0.5865027300411854	87437.0	38.0	30406.184210526317	0.0756745295062032	2300.9736842105262
Ashdod	Ashdod-Legacy	2024	7	3.0	176031.5	0.5866942374896917	103276.66666666669	38.0	30406.184210526317	0.0893833635528322	2717.80701754386
Ashdod	Ashdod-Legacy	2024	8	3.0	176031.5	0.5866942374896917	103276.66666666669	38.0	30406.184210526317	0.0893833635528322	2717.80701754386
Ashdod	Ashdod-Legacy	2024	9	3.0	176031.5	0.5866942374896917	103276.66666666669	38.0	30406.184210526317	0.0893833635528322	2717.80701754386
Ashdod	Ashdod-Legacy	2024	10	4.0	163254.58333333334	0.6173772558708153	100789.66666666669	38.0	30406.184210526317	0.0872309274573357	2652.3596491228072
Ashdod	Ashdod-Legacy	2024	11	4.0	163254.58333333334	0.6173772558708153	100789.66666666669	38.0	30406.184210526317	0.0872309274573357	2652.3596491228072
Ashdod	Ashdod-Legacy	2024	12	4.0	163254.58333333334	0.6173772558708153	100789.66666666669	38.0	30406.184210526317	0.0872309274573357	2652.3596491228072
Haifa	Haifa-Bayport	2021	1	Q1	127132.0	0.0	0.0	43.16326530612245	811.6119880107861	0.0	0.0
Haifa	Haifa-Bayport	2021	2	Q1	122928.0	0.0	0.0	43.16326530612245	811.6119880107861	0.0	0.0
Haifa	Haifa-Bayport	2021	3	Q1	126274.0	0.0	0.0	43.16326530612245	811.6119880107861	0.0	0.0
Haifa	Haifa-Bayport	2021	4	Q2	121885.0	0.0	0.0	43.16326530612245	811.6119880107861	0.0	0.0
Haifa	Haifa-Bayport	2021	5	Q2	134011.0	0.0	0.0	43.16326530612245	811.6119880107861	0.0	0.0
Haifa	Haifa-Bayport	2021	6	Q2	130127.0	0.0	0.0	43.16326530612245	811.6119880107861	0.0	0.0
Haifa	Haifa-Bayport	2021	7	Q3	121035.79893309214	0.0204027890681352	2469.4678753251096	43.16326530612245	811.6119880107861	0.0704921304140451	57.212258104458805
Haifa	Haifa-Bayport	2021	8	Q3	128063.47336382238	0.0204027890681352	2612.8520343748264	43.16326530612245	811.6119880107861	0.0745850991625089	60.53416060726548
Haifa	Haifa-Bayport	2021	9	Q3	107400.86561765474	0.0204027890681352	2191.27720693215	43.16326530612245	811.6119880107861	0.0625510459916591	50.76717878944461
Haifa	Haifa-Bayport	2021	10	Q4	121087.0	0.0735679861620832	8908.126740408175	43.16326530612245	811.6119880107861	0.2542866980389551	206.38213252009487
Haifa	Haifa-Bayport	2021	11	Q4	128113.46817057543	0.0735679861620832	9425.049853549388	43.16326530612245	811.6119880107861	0.2690425131964158	218.35812899476124
Haifa	Haifa-Bayport	2021	12	Q4	128113.46817057543	0.0735679861620832	9425.049853549388	43.16326530612245	811.6119880107861	0.2690425131964158	218.35812899476124
Haifa	Haifa-Bayport	2022	1	Q1	135321.58333333334	0.1451885211680808	19647.140566289887	43.16326530612245	17202.336270397005	0.0264604744883461	455.1819800227918
Haifa	Haifa-Bayport	2022	2	Q1	135321.58333333334	0.1451885211680808	19647.140566289887	43.16326530612245	17202.336270397005	0.0264604744883461	455.1819800227918
Haifa	Haifa-Bayport	2022	3	Q1	135321.58333333334	0.1451885211680808	19647.140566289887	43.16326530612245	17202.336270397005	0.0264604744883461	455.1819800227918
Haifa	Haifa-Bayport	2022	4	Q2	140262.0	0.3224238119631796	45223.8087135795	43.16326530612245	17202.336270397005	0.0609067478646073	1047.7383579032603
Haifa	Haifa-Bayport	2022	5	Q2	140262.0	0.3224238119631796	45223.8087135795	43.16326530612245	17202.336270397005	0.0609067478646073	1047.7383579032603
Haifa	Haifa-Bayport	2022	6	Q2	140262.0	0.3224238119631796	45223.8087135795	43.16326530612245	17202.336270397005	0.0609067478646073	1047.7383579032603
Haifa	Haifa-Bayport	2022	7	Q3	121338.41666666669	0.5166227808863539	62686.19024668046	43.16326530612245	17202.336270397005	0.0844248216272179	1452.304171199689
Haifa	Haifa-Bayport	2022	8	Q3	121338.41666666669	0.5166227808863539	62686.19024668046	43.16326530612245	17202.336270397005	0.0844248216272179	1452.304171199689
Haifa	Haifa-Bayport	2022	9	Q3	121338.41666666669	0.5166227808863539	62686.19024668046	43.16326530612245	17202.336270397005	0.0844248216272179	1452.304171199689
Haifa	Haifa-Bayport	2022	10	Q4	110014.08333333331	1.0902773379609103	119945.86191487644	43.16326530612245	17202.336270397005	0.1615412893531618	2778.887581006594
Haifa	Haifa-Bayport	2022	11	Q4	110014.08333333331	1.0902773379609103	119945.86191487644	43.16326530612245	17202.336270397005	0.1615412893531618	2778.887581006594
Haifa	Haifa-Bayport	2022	12	Q4	110014.08333333331	1.0902773379609103	119945.86191487644	43.16326530612245	17202.336270397005	0.1615412893531618	2778.887581006594
Haifa	Haifa-Bayport	2023	1	1.0	130785.33333333331	0.5660318690169132	74028.66666666666	45.0	18062.027777777777	0.0910795566102202	1645.0814814814814
Haifa	Haifa-Bayport	2023	2	1.0	130785.33333333331	0.5660318690169132	74028.66666666666	45.0	18062.027777777777	0.0910795566102202	1645.0814814814814
Haifa	Haifa-Bayport	2023	3	1.0	130785.33333333331	0.5660318690169132	74028.66666666666	45.0	18062.027777777777	0.0910795566102202	1645.0814814814814
Haifa	Haifa-Bayport	2023	4	2.0	141038.91666666666	0.5472880712002066	77188.91666666667	45.0	18062.027777777777	0.0949677013214237	1715.3092592592593
