terminal	year	month	date	LP	log_LP	delta	scenario	K	L	KL	log_KL	t_index
Haifa--Legacy	2022	5	2022-05-01	30.34189551062019	3.412529447599063	0.06	central	1082315.857920626	3304.4263011656717	327.53517835723176	5.7915954641379885	10
Haifa--Legacy	2022	6	2022-06-01	30.34189551062019	3.412529447599063	0.06	central	1076666.71463601	3304.4263011656717	325.82560980591524	5.786362298990004	11
Haifa--Legacy	2022	7	2022-07-01	56.44601540061336	4.033284701755592	0.06	central	1071188.3404896797	3154.5523981500437	339.56904349341846	5.827677294491375	12
Haifa--Legacy	2022	8	2022-08-01	56.44601540061336	4.033284701755592	0.06	central	1065604.2252173063	3154.5523981500437	337.7988667559364	5.822450649589909	13
Haifa--Legacy	2022	9	2022-09-01	56.44601540061336	4.033284701755592	0.06	central	1060052.783507058	3154.5523981500437	336.0390476090096	5.817227366333035	14
Haifa--Legacy	2022	10	2022-10-01	89.9483844218456	4.499235999388614	0.06	central	1054668.7643659618	3898.703183843473	270.5178400696392	5.600338048310082	15
Haifa--Legacy	2022	11	2022-11-01	89.9483844218456	4.499235999388614	0.06	central	1049181.1469888636	3898.703183843473	269.11029065683977	5.595121298015589	16
Haifa--Legacy	2022	12	2022-12-01	89.9483844218456	4.499235999388614	0.06	central	1043858.7696226372	3898.703183843473	267.74512457077225	5.59003550027607	17
Haifa--Legacy	2023	1	2023-01-01	54.545538499382424	3.9990359215719358	0.06	central	1038103.7746967518	2803.3808012093723	370.3042320361601	5.91432491652334	18
Haifa--Legacy	2023	2	2023-02-01	54.545538499382424	3.9990359215719358	0.06	central	1032385.0819630692	2803.3808012093723	368.26430484139024	5.908800900050298	19
Haifa--Legacy	2023	3	2023-03-01	54.545538499382424	3.9990359215719358	0.06	central	1027124.9986218044	2803.3808012093723	366.3879691901667	5.903692797081213	20
Haifa--Legacy	2023	4	2023-04-01	53.04765827150058	3.9711907221724307	0.06	central	1021475.0962121314	3018.370483749055	338.41938943935685	5.824285923488262	21
Haifa--Legacy	2023	5	2023-05-01	53.04765827150058	3.9711907221724307	0.06	central	1015999.6568020012	3018.370483749055	336.6053512225077	5.818911179498748	22
Haifa--Legacy	2023	6	2023-06-01	53.04765827150058	3.9711907221724307	0.06	central	1010419.6779185436	3018.370483749055	334.75667859815616	5.8134039353749705	23
Haifa--Legacy	2023	7	2023-07-01	50.96899869687891	3.9312175792086017	0.06	central	1005011.7056568888	2789.650113378685	360.26442916157276	5.886838287267178	24
Haifa--Legacy	2023	8	2023-08-01	50.96899869687891	3.9312175792086017	0.06	central	999500.7173423584	2789.650113378685	358.288916788856	5.881339691063449	25
Haifa--Legacy	2023	9	2023-09-01	50.96899869687891	3.9312175792086017	0.06	central	1079385.0144581078	2789.650113378685	386.924872506972	5.958230546295563	26
Haifa--Legacy	2023	10	2023-10-01	37.43780453223808	3.622681010259628	0.06	central	1073858.4275839357	2389.492214663643	449.40863209093874	6.107932567601779	27
