port	company	operator_or_owner	month	year	K_low	K_central	K_high	K_HPC_low	K_HPC_central	K_HPC_high	K_IPC_low	K_IPC_central	K_IPC_high	K_SIPG_low	K_SIPG_central	K_SIPG_high	K_cluster_low	K_cluster_central	K_cluster_high
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-06-01	2020	12257462.828701405	11910025.208183054	11566138.537257416	1055782.2670067977	1020079.7060822414	984600.7122579383	12257462.828701405	11910025.208183054	11566138.537257416	0.0	0.0	0.0	13313245.095708203	12930104.914265295	12550739.249515355
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-06-01	2020	0.0	0.0	0.0	1055782.2670067977	1020079.7060822414	984600.7122579383	12257462.828701405	11910025.208183054	11566138.537257416	0.0	0.0	0.0	13313245.095708203	12930104.914265295	12550739.249515355
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-07-01	2020	1041574.628337032	1004160.979952211	967059.8527668642	1041574.628337032	1004160.979952211	967059.8527668642	12262404.65684896	11896069.74908811	11534076.40530748	0.0	0.0	0.0	13303979.28518599	12900230.729040321	12501136.258074343
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-07-01	2020	13303979.28518599	12900230.729040321	12501136.258074343	1041574.628337032	1004160.979952211	967059.8527668642	12262404.65684896	11896069.74908811	11534076.40530748	0.0	0.0	0.0	13303979.28518599	12900230.729040321	12501136.258074343
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-07-01	2020	12262404.65684896	11896069.74908811	11534076.40530748	1041574.628337032	1004160.979952211	967059.8527668642	12262404.65684896	11896069.74908811	11534076.40530748	0.0	0.0	0.0	13303979.28518599	12900230.729040321	12501136.258074343
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-07-01	2020	0.0	0.0	0.0	1041574.628337032	1004160.979952211	967059.8527668642	12262404.65684896	11896069.74908811	11534076.40530748	0.0	0.0	0.0	13303979.28518599	12900230.729040321	12501136.258074343
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-08-01	2020	1027170.1695172712	988070.531112488	949388.066657894	1027170.1695172712	988070.531112488	949388.066657894	12267513.305728829	11881666.286669867	11501038.904482858	0.0	0.0	0.0	13294683.4752461	12869736.817782355	12450426.971140752
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-08-01	2020	13294683.4752461	12869736.817782355	12450426.971140752	1027170.1695172712	988070.531112488	949388.066657894	12267513.305728829	11881666.286669867	11501038.904482858	0.0	0.0	0.0	13294683.4752461	12869736.817782355	12450426.971140752
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-08-01	2020	12267513.305728829	11881666.286669867	11501038.904482858	1027170.1695172712	988070.531112488	949388.066657894	12267513.305728829	11881666.286669867	11501038.904482858	0.0	0.0	0.0	13294683.4752461	12869736.817782355	12450426.971140752
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-08-01	2020	0.0	0.0	0.0	1027170.1695172712	988070.531112488	949388.066657894	12267513.305728829	11881666.286669867	11501038.904482858	0.0	0.0	0.0	13294683.4752461	12869736.817782355	12450426.971140752
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-09-01	2020	1013012.4284632648	972307.6993285472	932136.7893064911	1013012.4284632648	972307.6993285472	932136.7893064911	12272624.082926482	11867280.263602065	11468096.034248704	0.0	0.0	0.0	13285636.511389747	12839587.962930612	12400232.823555196
Haifa	Haifa cluster (HPC + IPC + SIPG)	Haifa port cluster (HPC + IPC + SIPG)	2020-09-01	2020	13285636.511389747	12839587.962930612	12400232.823555196	1013012.4284632648	972307.6993285472	932136.7893064911	12272624.082926482	11867280.263602065	11468096.034248704	0.0	0.0	0.0	13285636.511389747	12839587.962930612	12400232.823555196
Haifa	Israel Ports Company (Haifa cluster)	Israel Ports Company (landlord / infrastructure owner)	2020-09-01	2020	12272624.082926482	11867280.263602065	11468096.034248704	1013012.4284632648	972307.6993285472	932136.7893064911	12272624.082926482	11867280.263602065	11468096.034248704	0.0	0.0	0.0	13285636.511389747	12839587.962930612	12400232.823555196
Haifa	SIPG Haifa Bayport	SIPG Haifa Bayport (private operator)	2020-09-01	2020	0.0	0.0	0.0	1013012.4284632648	972307.6993285472	932136.7893064911	12272624.082926482	11867280.263602065	11468096.034248704	0.0	0.0	0.0	13285636.511389747	12839587.962930612	12400232.823555196
Haifa	Haifa Port Company (legacy)	Haifa Port Company (legacy operator)	2020-10-01	2020	999513.7833752908	957330.3756921706	915804.2235491504	999513.7833752908	957330.3756921706	915804.2235491504	12277572.02362065	11853374.890490582	11436305.682863953	0.0	0.0	0.0	13277085.806995941	12810705.266182752	12352109.906413103
