model	reform	target	fe_type	spec_name	event_time	j	beta_hat	se	tvalue	pvalue	N_m	n_obs	treated_n	control_n	cov_type	cluster_by	r2
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	19	19	0.2314285752016767	0.2123837337697651	1.089671845832399	0.2758577223309023	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	20	20	0.2299431208203248	0.2122214897485016	1.0835053560919996	0.2785841747719371	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	21	21	0.2284412213547533	0.2120534309488206	1.0772814206900896	0.2813545600176852	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	22	22	0.2271749410941965	0.2118938592995553	1.0721166807058733	0.2836676274911868	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	23	23	0.2256773495881702	0.2117285280038152	1.0658806903154006	0.2864775789087507	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	baseline	baseline	24	24	0.2843045571892588	0.2082931285619688	1.3649252817510775	0.1722765352443382	1	482	38	444	HC1		0.797636672896253
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-12	-12	-0.3450094087994571	0.1324921812848258	-2.6039982544914944	0.009214322606356	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-11	-11	-0.3542059496633802	0.1327967501339082	-2.6672787497149555	0.007646821935348	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-10	-10	-0.2531082849636163	0.1315248438546483	-1.924414259281183	0.0543026785166299	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-9	-9	0.914084930552447	0.6615231659894979	1.3817882389427292	0.167036731289258	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-8	-8	0.7950280165272918	0.5962609380271814	1.3333558612069425	0.1824150499662508	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-7	-7	0.6759439288439943	0.5313517850237859	1.2721213100163686	0.2033300207397425	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-6	-6	0.5682548243200549	0.4731429960907045	1.2010213170546793	0.2297429324174671	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-5	-5	0.4490521685143989	0.4093899752259854	1.0968812029813864	0.2726933267201913	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-4	-4	0.333543864090656	0.3487368627779512	0.9564342049582268	0.3388529105622472	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-3	-3	0.2140104762148549	0.2878379919195972	0.7435101766365686	0.4571728625903686	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	-2	-2	0.1203993519346933	0.2319298815065888	0.519119619915267	0.6036773272269023	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	0	0	-0.1212693417821455	0.1414774150100427	-0.857163963403892	0.3913542752964342	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	1	1	-0.1798838971156786	0.127648324271536	-1.4092147166227271	0.1587716874288671	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	2	2	-0.3046374998576384	0.1447821794327495	-2.104109090298235	0.0353689320825513	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	3	3	-0.4285484196083156	0.1831354018933232	-2.3400632274143587	0.0192804755015821	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	4	4	-0.3523416821630114	0.1855423800281821	-1.8989822277233592	0.0575668127473346	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	5	5	-0.3600459461064353	0.187977715083519	-1.9153650524290384	0.0554459647538845	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	6	6	-0.3671013709132689	0.190205040519169	-1.9300296664655008	0.0536031620404044	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	7	7	-0.1598647021491343	0.1926910759478368	-0.8296424801344257	0.4067409514325757	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	8	8	-0.1673819262687446	0.1951221517070699	-0.8578314907065459	0.3909855183450166	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	9	9	-0.1751314937984087	0.1976562209410733	-0.8860408894017061	0.3755954937178423	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	10	10	0.0528600599755195	0.2001318291965676	0.2641262021524868	0.7916826741960812	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	11	11	0.0450859951178927	0.2027098767708396	0.222416370805956	0.8239897689036535	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	12	12	0.0372991054224329	0.2053088117698725	0.1816731834395932	0.8558392122405087	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	13	13	0.6603046558953319	0.207844542540734	3.176916015323921	0.0014885013421596	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	14	14	0.6524916413452417	0.2104819426095383	3.099988689080414	0.0019352803291876	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	15	15	0.6448880468235337	0.2130533176746143	3.0268857291790163	0.0024708734597904	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	16	16	0.2797689990365497	0.2128784304429043	1.3142195686734266	0.1887723250214757	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	17	17	0.2782588169201582	0.2127049406957221	1.3081916010508283	0.1908083301202976	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	18	18	0.2768072345907306	0.2125545332952814	1.30228807779032	0.1928179256753494	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	19	19	0.2314285752016854	0.2123837337697652	1.0896718458324393	0.2758577223308844	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	20	20	0.2299431208203293	0.2122214897485015	1.0835053560920207	0.2785841747719276	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	21	21	0.2284412213547573	0.2120534309488209	1.0772814206901071	0.2813545600176772	1	482	38	444	HC1		0.7976366728962531
1B	haifa_comp	Haifa-Legacy K/L	porttr	porttr	22	22	0.2271749410941974	0.211893859299555	1.0721166807058788	0.2836676274911843	1	482	38	444	HC1		0.7976366728962531
